gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region
male,afam,37.61000061,no,yes,yes,no,5.300000191,9.640000343,0.300000012,1.152420044,13,high,other
female,other,62.25,yes,no,yes,no,5.300000191,9.640000343,0.300000012,1.152420044,16,high,other
female,other,43.79999924,yes,no,yes,no,5.300000191,9.640000343,0.300000012,1.152420044,12,high,other
male,other,51.95999908,no,no,yes,no,5.300000191,9.640000343,0.300000012,1.152420044,15,low,other
female,other,49.20999908,no,no,yes,no,5.300000191,9.640000343,0.300000012,1.152420044,15,low,other
female,other,52.34000015,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,12,low,other
female,other,62.93999863,no,yes,yes,no,9.800000191,9.640000343,4.5,1.152420044,16,high,other
male,other,55.83000183,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,12,low,other
male,other,62.11999893,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,18,low,other
female,other,55.54000092,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,12,high,other
female,other,65.12000275,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,15,low,other
male,other,57.84999847,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,15,low,other
male,other,45.54000092,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,12,low,other
female,other,59.68000031,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,16,low,other
male,other,58.31999969,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,12,low,other
male,other,56.41999817,yes,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,16,low,other
male,other,62.20000076,yes,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,16,high,other
male,afam,57.06999969,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,15,low,other
female,other,52.86000061,no,no,yes,no,9.800000191,9.640000343,4.5,1.152420044,15,low,other
female,other,66.86000061,yes,yes,yes,no,6.300000191,9.640000343,1.200000048,1.152420044,17,high,other
female,other,44.59999847,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,12,low,other
female,other,56.93000031,yes,yes,yes,no,10.69999981,9.640000343,0.5,1.152420044,15,high,other
female,other,54.11999893,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,12,low,other
male,other,48.75,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,12,low,other
male,other,58.15999985,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,16,low,other
female,other,40.90000153,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,12,low,other
male,other,60.95999908,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,17,high,other
male,other,65.70999908,no,yes,yes,no,10.69999981,9.640000343,0.5,1.152420044,15,low,other
female,other,53.72999954,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,16,low,other
female,other,57.52999878,no,no,yes,no,10.69999981,9.640000343,0.5,1.152420044,16,low,other
male,other,63.11999893,yes,yes,yes,no,10.69999981,9.640000343,0.5,1.152420044,16,high,other
male,other,51.16999817,no,no,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,12,low,other
male,other,61.45000076,no,no,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,13,low,other
male,afam,58.93000031,yes,no,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,15,low,other
female,other,55.97999954,no,yes,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,12,high,other
male,other,44.77999878,no,no,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,12,low,other
male,other,49.25,no,no,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,12,low,other
male,other,56.29999924,yes,yes,yes,no,5.300000191,9.640000343,1.200000048,1.152420044,12,high,other
female,other,65.68000031,no,no,no,no,7,9.640000343,0.100000001,1.152420044,16,low,other
male,other,42.68999863,yes,yes,yes,no,7,9.640000343,0.100000001,1.152420044,16,low,other
female,other,63.81999969,yes,yes,yes,no,7,9.640000343,0.100000001,1.152420044,16,high,other
female,other,55.41999817,no,no,yes,no,7,9.640000343,0.100000001,1.152420044,12,high,other
male,other,48.70999908,no,no,yes,no,7,9.640000343,0.100000001,1.152420044,12,low,other
female,other,62.54000092,yes,yes,yes,no,7,9.640000343,0.100000001,1.152420044,16,high,other
female,other,62.97000122,no,yes,yes,no,7,9.640000343,0.100000001,1.152420044,16,high,other
male,other,63.20999908,yes,yes,yes,no,7.699999809,9.640000343,0.100000001,1.152420044,16,low,other
male,afam,38.20000076,no,no,no,no,7.699999809,9.640000343,0.100000001,1.152420044,12,low,other
female,other,54.99000168,no,no,yes,no,5.599999905,9.640000343,0.400000006,1.152420044,15,low,other
female,other,62.68000031,no,no,yes,no,5.599999905,9.640000343,0.400000006,1.152420044,16,high,other
female,other,50.66999817,no,no,yes,no,8,9.640000343,3.5,1.152420044,14,high,other
female,other,53.36000061,no,no,yes,no,8,9.640000343,3.5,1.152420044,13,low,other
male,other,58.91999817,no,no,yes,no,8,9.640000343,3.5,1.152420044,17,high,other
male,other,55.75,no,no,yes,no,8,9.640000343,3.5,1.152420044,12,low,other
female,other,52.74000168,no,no,yes,no,8,9.640000343,3.5,1.152420044,12,low,other
male,other,56.02000046,no,no,yes,no,8,9.640000343,3.5,1.152420044,16,high,other
male,other,58.58000183,yes,yes,yes,no,5.300000191,9.640000343,0.699999988,1.152420044,16,high,other
male,hispanic,48.54999924,no,no,yes,no,5.300000191,9.640000343,0.699999988,1.152420044,14,low,other
female,other,52.68000031,no,yes,yes,no,5.300000191,9.640000343,0.699999988,1.152420044,14,low,other
female,hispanic,57.90000153,no,no,yes,no,5.300000191,9.640000343,0.699999988,1.152420044,14,low,other
male,other,55.97000122,no,no,yes,no,10.19999981,9.640000343,1.200000048,1.152420044,16,low,other
male,other,58.86999893,no,no,yes,no,10.19999981,9.640000343,1.200000048,1.152420044,12,low,other
